Date,Open,High,Low,Close,Volume
05/29/2024,"677.25","684.10","666.15","679.60","418,496"
05/28/2024,"707.70","712.00","675.50","678.65","395,034"
05/27/2024,"709.95","717.00","702.35","704.55","307,073"
05/24/2024,"713.70","720.10","703.30","706.95","424,301"
05/23/2024,"700.75","720.00","686.00","710.95","1,208,081"
05/22/2024,"689.30","715.00","685.55","691.65","1,152,151"
05/21/2024,"634.75","691.95","626.55","680.25","1,640,763"
05/17/2024,"640.75","640.75","629.20","635.75","168,319"
05/16/2024,"646.85","651.60","632.00","639.95","578,483"
05/15/2024,"631.00","647.80","626.00","639.80","516,681"
05/14/2024,"594.45","635.85","590.65","627.65","1,426,123"
05/13/2024,"603.75","605.00","580.80","595.00","590,427"
05/10/2024,"615.00","630.00","600.00","603.10","1,184,953"
05/09/2024,"587.05","622.00","587.05","613.05","1,287,919"
05/08/2024,"580.55","587.75","572.25","579.30","151,688"
05/07/2024,"589.40","596.20","577.00","580.00","148,544"
05/06/2024,"599.05","603.00","578.00","588.85","284,306"
05/03/2024,"609.90","614.50","596.65","604.40","212,040"
05/02/2024,"615.00","624.90","604.80","608.00","909,571"
