Date,Open,High,Low,Close,Volume
09/06/2024,"1,931.15","1,935.90","1,896.70","1,902.20","274,994"
09/05/2024,"1,923.15","1,938.90","1,910.05","1,933.00","94,075"
09/04/2024,"1,907.60","1,928.20","1,900.75","1,922.05","105,955"
09/03/2024,"1,964.90","1,965.00","1,936.00","1,940.20","103,637"
09/02/2024,"1,943.00","1,975.05","1,942.95","1,964.10","151,346"
08/30/2024,"1,943.90","1,950.00","1,928.15","1,943.30","219,394"
08/29/2024,"1,935.00","1,950.00","1,920.60","1,932.40","171,353"
08/28/2024,"1,904.50","1,950.20","1,896.90","1,939.20","336,061"
08/27/2024,"1,881.70","1,902.00","1,874.00","1,900.15","130,940"
08/26/2024,"1,870.00","1,888.35","1,866.75","1,875.95","120,624"
08/23/2024,"1,878.95","1,880.25","1,856.55","1,862.35","322,603"
08/22/2024,"1,882.35","1,893.30","1,869.90","1,879.95","81,706"
08/21/2024,"1,874.00","1,879.95","1,866.65","1,872.25","86,735"
08/20/2024,"1,880.05","1,885.70","1,868.35","1,873.50","70,074"
08/19/2024,"1,859.35","1,866.85","1,849.45","1,864.10","105,146"
08/16/2024,"1,847.25","1,861.80","1,830.65","1,859.35","321,175"
08/14/2024,"1,797.35","1,825.00","1,797.35","1,822.65","506,152"
08/13/2024,"1,806.35","1,807.40","1,789.55","1,796.80","149,499"
08/12/2024,"1,765.05","1,803.00","1,765.05","1,797.55","140,719"
08/09/2024,"1,774.65","1,779.90","1,756.55","1,770.85","273,636"
08/08/2024,"1,784.35","1,784.35","1,727.45","1,741.10","212,394"
08/07/2024,"1,789.95","1,797.00","1,762.05","1,792.00","54,563"
08/06/2024,"1,751.45","1,796.65","1,745.00","1,750.65","111,439"
08/05/2024,"1,761.00","1,797.60","1,718.40","1,751.40","580,128"
08/02/2024,"1,843.95","1,860.00","1,816.20","1,821.40","577,170"
08/01/2024,"1,845.40","1,867.55","1,845.40","1,852.30","198,684"
07/31/2024,"1,874.35","1,884.00","1,865.50","1,868.05","50,275"
07/30/2024,"1,867.25","1,879.90","1,860.00","1,877.00","129,390"
07/29/2024,"1,885.05","1,903.00","1,864.15","1,872.30","82,954"
07/26/2024,"1,824.50","1,883.00","1,824.50","1,878.75","756,974"
07/25/2024,"1,821.65","1,830.60","1,813.75","1,825.35","93,576"
07/24/2024,"1,828.90","1,840.55","1,820.20","1,830.20","355,661"
07/23/2024,"1,808.00","1,839.75","1,783.00","1,836.95","186,623"
07/22/2024,"1,800.00","1,823.15","1,793.75","1,810.55","175,147"
07/19/2024,"1,842.05","1,843.00","1,786.00","1,792.85","1,647,829"
07/18/2024,"1,724.95","1,764.95","1,720.75","1,759.15","286,775"
07/16/2024,"1,713.20","1,737.50","1,699.30","1,725.80","265,172"
07/15/2024,"1,715.30","1,728.10","1,702.25","1,707.20","319,131"
07/12/2024,"1,675.05","1,719.00","1,666.85","1,712.00","1,025,252"
07/11/2024,"1,655.00","1,665.00","1,642.25","1,653.05","178,432"
07/10/2024,"1,657.50","1,674.00","1,637.55","1,647.70","255,972"
07/09/2024,"1,659.00","1,666.00","1,650.40","1,657.25","173,026"
07/08/2024,"1,642.00","1,666.00","1,640.00","1,661.65","99,345"
07/05/2024,"1,649.55","1,665.00","1,633.20","1,647.20","503,374"
07/04/2024,"1,627.65","1,659.15","1,627.60","1,649.15","411,364"
07/03/2024,"1,624.95","1,635.50","1,606.25","1,627.60","120,360"
07/02/2024,"1,598.00","1,633.80","1,589.00","1,621.00","221,285"
07/01/2024,"1,561.05","1,599.85","1,559.20","1,589.75","438,488"
06/28/2024,"1,571.10","1,588.00","1,564.00","1,566.95","719,140"
06/27/2024,"1,540.00","1,577.50","1,532.20","1,573.50","914,944"
06/26/2024,"1,540.00","1,548.95","1,535.35","1,541.35","182,325"
06/25/2024,"1,526.00","1,543.75","1,521.65","1,541.30","481,445"
06/24/2024,"1,526.25","1,528.80","1,516.60","1,527.25","218,485"
06/21/2024,"1,531.05","1,557.75","1,523.45","1,531.70","971,925"
06/20/2024,"1,513.05","1,517.10","1,499.25","1,515.30","242,401"
06/19/2024,"1,502.45","1,515.95","1,496.55","1,511.35","254,774"
06/18/2024,"1,488.95","1,507.65","1,488.95","1,497.85","121,668"
06/14/2024,"1,500.05","1,501.00","1,486.00","1,488.55","280,369"
06/13/2024,"1,498.00","1,505.00","1,489.75","1,494.25","212,377"
06/12/2024,"1,503.00","1,508.95","1,483.05","1,485.00","255,297"
06/11/2024,"1,504.95","1,506.55","1,494.00","1,495.60","111,787"
06/10/2024,"1,528.85","1,528.85","1,497.90","1,499.65","228,905"
06/07/2024,"1,475.15","1,539.00","1,475.15","1,533.35","2,034,394"
06/06/2024,"1,442.55","1,474.00","1,437.40","1,472.50","712,430"
06/05/2024,"1,400.00","1,438.00","1,400.00","1,430.25","505,138"
06/04/2024,"1,411.95","1,412.95","1,359.10","1,394.40","1,016,378"
06/03/2024,"1,435.15","1,439.05","1,404.00","1,405.90","182,274"
05/31/2024,"1,413.00","1,436.50","1,400.00","1,406.25","692,017"
05/30/2024,"1,447.95","1,449.90","1,421.70","1,425.75","515,228"
05/29/2024,"1,469.95","1,469.95","1,448.70","1,451.60","206,028"
05/28/2024,"1,477.00","1,477.00","1,461.00","1,466.20","368,764"
05/27/2024,"1,467.80","1,479.50","1,460.50","1,471.60","92,422"
05/24/2024,"1,471.75","1,475.20","1,459.15","1,465.00","367,838"
05/23/2024,"1,456.15","1,478.15","1,451.90","1,472.90","222,189"
05/22/2024,"1,434.65","1,459.90","1,429.50","1,454.65","337,362"
05/21/2024,"1,439.95","1,444.00","1,428.75","1,434.20","181,992"
05/17/2024,"1,455.45","1,455.45","1,439.50","1,444.05","284,528"
05/16/2024,"1,431.00","1,455.50","1,428.00","1,452.90","421,731"
05/15/2024,"1,424.65","1,431.00","1,419.00","1,420.75","280,110"
05/14/2024,"1,425.15","1,433.45","1,418.00","1,424.85","88,849"
05/13/2024,"1,425.15","1,425.15","1,411.15","1,423.25","180,542"
05/10/2024,"1,436.95","1,436.95","1,413.15","1,425.15","237,684"
05/09/2024,"1,428.60","1,449.65","1,425.00","1,438.75","318,603"
05/08/2024,"1,431.30","1,441.45","1,426.10","1,427.35","64,739"
05/07/2024,"1,425.50","1,443.00","1,416.00","1,440.75","173,851"
